Stopwords Dropped, Feature Selector, Accuracy, Precision, Recall, F1-Measure, Training took(seconds)
True, Most Frequent Words, 0.8360655737704918, 0.8125, 0.8666666666666667, 0.8387096774193549, 0.223341
False, Most Frequent Words, 0.7377049180327869, 0.7058823529411765, 0.8, 0.7500000000000001, 0.193823
True, Doc Frequency Difference, 0.8852459016393442, 0.8709677419354839, 0.9, 0.8852459016393444, 0.525822
False, Doc Frequency Difference, 0.9180327868852459, 0.9032258064516129, 0.9333333333333333, 0.9180327868852459, 0.327213
True, Plain Frequency Difference, 0.8852459016393442, 0.8484848484848485, 0.9333333333333333, 0.888888888888889, 0.42303
False, Plain Frequency Difference, 0.7377049180327869, 0.71875, 0.7666666666666667, 0.7419354838709677, 0.338326
True, Mixed Frequency Difference, 0.9180327868852459, 0.9032258064516129, 0.9333333333333333, 0.9180327868852459, 0.773576
False, Mixed Frequency Difference, 0.9016393442622951, 0.9285714285714286, 0.8666666666666667, 0.896551724137931, 0.639591
